,epoch,loss,train_accuracy,validation_accuracy,test_random,test_accuarcy
0,0,1094.3879072070122,0.5243226950880262,0.5281028419899695,0.5013569809129187,0.5069189273708076
1,1,1078.2219184339046,0.5609166777842013,0.565296593070848,0.5013569809129187,0.5470587578319578
2,2,1064.4463580846786,0.5818176427862024,0.5682999942353144,0.5013569809129187,0.5431944335861152
3,3,1064.5291886925697,0.5809035343877698,0.5672565861532254,0.5013569809129187,0.5446016730513642
4,4,1061.4246258437634,0.5840831492763721,0.5750734997405892,0.5013569809129187,0.5517272189150854
5,5,1058.7606450617313,0.5881842842531241,0.5699832824119444,0.5013569809129187,0.5519840959603293
6,6,1060.817840963602,0.584093031529328,0.566380353951692,0.5013569809129187,0.5529222556038286
7,7,1059.2004041075706,0.5859064249467594,0.5689456390153917,0.5013569809129187,0.5505433507935267
8,8,1056.7067853957415,0.5873195871194715,0.5680002305874214,0.5013569809129187,0.5543853379050002
9,9,1053.0778748393059,0.5925547106229279,0.5795123076036203,0.5013569809129187,0.5508002278387706
10,10,1050.7271077036858,0.5960826749282301,0.5843373493975904,0.5013569809129187,0.5530786155444118
11,11,1042.9317762255669,0.6017353236190787,0.5934051997463539,0.5013569809129187,0.5555580374593744
12,12,1044.0911802649498,0.6012313287183212,0.5928287311927134,0.5013569809129187,0.5540949551582027
13,13,1040.2619079053402,0.6041811812256959,0.5915432063180953,0.5013569809129187,0.5548767548611189
14,14,1040.5946051478386,0.6040527119372675,0.5957456620741338,0.5013569809129187,0.5562504886248143
15,15,1036.2114798128605,0.6068691540297357,0.5966853058165678,0.5013569809129187,0.5517272189150854
16,16,1034.1111051887274,0.6070989164109634,0.5965181299360119,0.5013569809129187,0.555379340384422
17,17,1031.5454193353653,0.6095719502132096,0.6005879979247132,0.5013569809129187,0.5548544177267498
18,18,1027.9770149290562,0.6165932909384682,0.6018274053150401,0.5013569809129187,0.5531009526787808
19,19,1027.3336525261402,0.6125316849735403,0.6101689052862166,0.5013569809129187,0.5554686889218982
20,20,1025.831008195877,0.6150837767994347,0.6106358448146654,0.5013569809129187,0.5553905089516066
21,21,1025.485469892621,0.6147057806238666,0.6080129128956016,0.5013569809129187,0.5575795481197717
22,22,1022.7574847340584,0.6168279944461739,0.6067043292788379,0.5013569809129187,0.5555133631906363
23,23,1025.5036510527134,0.6166179965708583,0.6087104398455064,0.5013569809129187,0.5591319789584194
24,24,1021.3976733982563,0.6190045606597392,0.6127399550354529,0.5013569809129187,0.5590426304209433
25,25,1021.9333886504173,0.6152740101688383,0.6117253703810457,0.5013569809129187,0.5609747925438645
26,26,1019.9371262341738,0.6202151366468528,0.621104513748775,0.5013569809129187,0.560248835676871
27,27,1016.5635264962912,0.621981589362743,0.6230702715166888,0.5013569809129187,0.5643588684007729
28,28,1014.8206267505884,0.6227919341051373,0.6267769643165966,0.5013569809129187,0.566570244703307
29,29,1012.5013547092676,0.6248795600420984,0.6258776733729176,0.5013569809129187,0.5653081966114567
30,30,1008.1362040638924,0.6272043600500042,0.6241655617686055,0.5013569809129187,0.5609524554094956
31,31,1010.3658838123083,0.6262630754559424,0.6277569608577852,0.5013569809129187,0.5659783106425277
32,32,1006.6013068258762,0.6282592905530603,0.6274226090966738,0.5013569809129187,0.5631303260104761
33,33,1007.8204078525305,0.6282419966103873,0.6270940220210988,0.5013569809129187,0.567608921451467
34,34,1005.8021996021271,0.629548924563822,0.6310601256701447,0.5013569809129187,0.5644817226398026
35,35,1006.9374421387911,0.6287286975684716,0.626569435637286,0.5013569809129187,0.5667712789126284
36,36,1004.6677334904671,0.6313870236136434,0.6265579062662132,0.5013569809129187,0.5632196745479523
37,37,1002.6979294717312,0.6327977152231166,0.6339424684383467,0.5013569809129187,0.5666930989423367
38,38,1005.2105925679207,0.629536571747627,0.6312849484060644,0.5013569809129187,0.5654868936864089
39,39,999.9838353842497,0.6331954759045967,0.6371649276531965,0.5013569809129187,0.5647721053865999
40,40,1000.0574229359627,0.6335660603904478,0.6366922234392114,0.5013569809129187,0.5657214335972838
41,41,1001.746858805418,0.6331608880192506,0.6341499971176572,0.5013569809129187,0.5638116086087316
42,42,1000.1750684678555,0.6331608880192506,0.6381449241943852,0.5013569809129187,0.5661905134190335
43,43,995.1222749650478,0.6384997751787452,0.6370726926846141,0.5013569809129187,0.5650289824318439
44,44,995.3657139986753,0.6389741233206346,0.6385253934397879,0.5013569809129187,0.564839116789707
45,45,997.2369199842215,0.6368395566821324,0.6342422320862396,0.5013569809129187,0.5621363235310542
46,46,993.620219886303,0.6395497645553233,0.6422263215541593,0.5013569809129187,0.5660118163440813
47,47,994.3840278089046,0.6391816506327113,0.643021848158183,0.5013569809129187,0.5675642471827289
